abbr,-3,-2,-1,base,+1,+2,+3
FSSpB,-90,-60,-30,170,50,100,150
FSSp1,-90,-60,-30,200,50,100,150
FSSp2,-90,-60,-30,230,50,100,150
FSSp3,-90,-60,-30,260,50,100,150
FSSp4,-90,-60,-30,300,50,100,150
FSSpBV,-90,-60,-30,120,50,100,150
FSSp1V,-90,-60,-30,140,50,100,150
FSSp2V,-90,-60,-30,160,50,100,150
FSSp3V,-90,-60,-30,180,50,100,150
FSSp4V,-90,-60,-30,210,50,100,150
FCSpB,-90,-60,-30,160,50,100,150
FCSp1,-90,-60,-30,190,50,100,150
FCSp2,-90,-60,-30,230,50,100,150
FCSp3,-90,-60,-30,280,50,100,150
FCSp4,-90,-60,-30,320,50,100,150
FCSpBV,-90,-60,-30,110,50,100,150
FCSp1V,-90,-60,-30,130,50,100,150
FCSp2V,-90,-60,-30,160,50,100,150
FCSp3V,-90,-60,-30,200,50,100,150
FCSp4V,-90,-60,-30,220,50,100,150
FLSpB,-90,-60,-30,170,50,100,150
FLSp1,-90,-60,-30,200,50,100,150
FLSp2,-90,-60,-30,240,50,100,150
FLSp3,-90,-60,-30,290,50,100,150
FLSp4,-90,-60,-30,320,50,100,150
FLSpBV,-90,-60,-30,120,50,100,150
FLSp1V,-90,-60,-30,140,50,100,150
FLSp2V,-90,-60,-30,170,50,100,150
FLSp3V,-90,-60,-30,200,50,100,150
FLSp4V,-90,-60,-30,220,50,100,150
CUSpB,-90,-60,-30,150,50,100,150
CUSp1,-90,-60,-30,170,50,100,150
CUSp2,-90,-60,-30,200,50,100,150
CUSp3,-90,-60,-30,240,50,100,150
CUSp4,-90,-60,-30,290,50,100,150
CSSpB,-90,-60,-30,160,50,100,150
CSSp1,-90,-60,-30,190,50,100,150
CSSp2,-90,-60,-30,230,50,100,150
CSSp3,-90,-60,-30,260,50,100,150
CSSp4,-90,-60,-30,300,50,100,150
CCSpB,-90,-60,-30,170,50,100,150
CCSp1,-90,-60,-30,200,50,100,150
CCSp2,-90,-60,-30,230,50,100,150
CCSp3,-90,-60,-30,280,50,100,150
CCSp4,-90,-60,-30,320,50,100,150
CLSpB,-90,-60,-30,170,50,100,150
CLSp1,-90,-60,-30,200,50,100,150
CLSp2,-90,-60,-30,240,50,100,150
CLSp3,-90,-60,-30,290,50,100,150
CLSp4,-90,-60,-30,320,50,100,150
FCUSpB,-90,-60,-30,150,50,100,150
FCUSp1,-90,-60,-30,170,50,100,150
FCUSp2,-90,-60,-30,200,50,100,150
FCUSp3,-90,-60,-30,240,50,100,150
FCUSp4,-90,-60,-30,290,50,100,150
FCSSpB,-90,-60,-30,160,50,100,150
FCSSp1,-90,-60,-30,190,50,100,150
FCSSp2,-90,-60,-30,230,50,100,150
FCSSp3,-90,-60,-30,260,50,100,150
FCSSp4,-90,-60,-30,300,50,100,150
FCCSpB,-90,-60,-30,170,50,100,150
FCCSp1,-90,-60,-30,200,50,100,150
FCCSp2,-90,-60,-30,230,50,100,150
FCCSp3,-90,-60,-30,280,50,100,150
FCCSp4,-90,-60,-30,320,50,100,150
FCLSpB,-90,-60,-30,170,50,100,150
FCLSp1,-90,-60,-30,200,50,100,150
FCLSp2,-90,-60,-30,240,50,100,150
FCLSp3,-90,-60,-30,290,50,100,150
FCLSp4,-90,-60,-30,320,50,100,150
CoSpB,-90,-60,-30,150,50,100,150
CoSp1,-90,-60,-30,170,50,100,150
CoSp2,-90,-60,-30,200,50,100,150
CoSp3,-90,-60,-30,250,50,100,150
CoSp4,-90,-60,-30,300,50,100,150
CoSpBV,-90,-60,-30,110,50,100,150
CoSp1V,-90,-60,-30,130,50,100,150
CoSp2V,-90,-60,-30,150,50,100,150
CoSp3V,-90,-60,-30,180,50,100,150
CoSp4V,-90,-60,-30,210,50,100,150
FCoSpB,-90,-60,-30,150,50,100,150
FCoSp1,-90,-60,-30,170,50,100,150
FCoSp2,-90,-60,-30,200,50,100,150
FCoSp3,-90,-60,-30,250,50,100,150
FCoSp4,-90,-60,-30,300,50,100,150
FCoSpBV,-90,-60,-30,110,50,100,150
FCoSp1V,-90,-60,-30,130,50,100,150
